feature,beta,p_value,sig,ci_low,ci_high,direction,interpretation
D20,0.0535422258199461,5.066422359794702e-21,***,0.048635561344741625,0.05844889029515058,increases,"As D20 increases by 1 SD, Cake porosity increases by 0.054 (?=0.054***, p=5.07e-21, 95% CI [0.049, 0.058])."
D80,-0.0515248619547278,1.6060862756020767e-20,***,-0.05643152642993228,-0.046618197479523324,decreases,"As D80 increases by 1 SD, Cake porosity decreases by 0.052 (?=-0.052***, p=1.61e-20, 95% CI [-0.056, -0.047])."
